,provider,samples,hit_rate,cost
289,Azure CDN,10000000,0.9,16006262.852845443
290,Azure CDN,10000000,1.0,15989138.88301136
291,Azure CDN,10000000,0.0,16005989.214880828
292,Azure CDN,10000000,0.9,16012763.58740345
293,Azure CDN,10000000,1.0,16023597.09229867
294,Azure CDN,10000000,0.0,16001118.722653572
295,Azure CDN,10000000,0.9,16001944.637216259
296,Azure CDN,10000000,1.0,16016886.467175042
297,Azure CDN,10000000,0.0,16015795.380989734
298,Azure CDN,10000000,0.9,16001544.722966943
299,Azure CDN,10000000,1.0,16011111.19746672
300,Google CDN,1000,0.0,5167.356502593076
301,Google CDN,1000,0.9,3278.3192756248172
302,Google CDN,1000,1.0,3064.112079957081
303,Google CDN,1000,0.0,5263.80572253447
304,Google CDN,1000,0.9,3243.053420828888
305,Google CDN,1000,1.0,3016.4057442038784
306,Google CDN,1000,0.0,5189.870810751151
307,Google CDN,1000,0.9,3271.972278653737
308,Google CDN,1000,1.0,3085.6182131851556
309,Google CDN,1000,0.0,5114.476113940868
310,Google CDN,1000,0.9,3193.3445088811686
311,Google CDN,1000,1.0,3014.85348843066
312,Google CDN,1000,0.0,5226.786851522792
313,Google CDN,1000,0.9,3283.351651035482
314,Google CDN,1000,1.0,3329.7530692869796
315,Google CDN,1000,0.0,4564.094400581205
316,Google CDN,1000,0.9,3382.679620349314
317,Google CDN,1000,1.0,3295.620649891719
318,Google CDN,1000,0.0,5071.034243978141
319,Google CDN,1000,0.9,3203.942349929828
320,Google CDN,1000,1.0,3150.938699647365
321,Google CDN,1000,0.0,5229.336183869559
322,Google CDN,1000,0.9,3268.4653510442004
323,Google CDN,1000,1.0,3185.848780009709
324,Google CDN,1000,0.0,5121.027585548861
325,Google CDN,1000,0.9,3135.461398920929
326,Google CDN,1000,1.0,3175.093729214789
327,Google CDN,1000,0.0,4924.158133159671
328,Google CDN,1000,0.9,3376.655608376162
329,Google CDN,1000,1.0,3411.334506992297
330,Google CDN,10000,0.0,42604.768033650515
331,Google CDN,10000,0.9,25528.315427010508
332,Google CDN,10000,1.0,23859.20498740212
333,Google CDN,10000,0.0,42815.1066832622
334,Google CDN,10000,0.9,25171.57985169664
335,Google CDN,10000,1.0,23529.77495092671
336,Google CDN,10000,0.0,42763.816374146656
337,Google CDN,10000,0.9,24343.621023542575
338,Google CDN,10000,1.0,23736.74979546275
339,Google CDN,10000,0.0,43183.25878512119
340,Google CDN,10000,0.9,25318.96655552448
341,Google CDN,10000,1.0,22962.818678026833
342,Google CDN,10000,0.0,43671.00145683419
343,Google CDN,10000,0.9,25134.789696753956
344,Google CDN,10000,1.0,23995.29356565238
345,Google CDN,10000,0.0,43437.29025651705
346,Google CDN,10000,0.9,25638.106520469766
347,Google CDN,10000,1.0,22947.40805116091
348,Google CDN,10000,0.0,43717.46611376693
349,Google CDN,10000,0.9,25204.52587397136
350,Google CDN,10000,1.0,23390.76166857481
351,Google CDN,10000,0.0,43275.07497775908
352,Google CDN,10000,0.9,25154.009137192137
353,Google CDN,10000,1.0,23455.190031632133
354,Google CDN,10000,0.0,41704.47839104156
355,Google CDN,10000,0.9,25187.901895010986
356,Google CDN,10000,1.0,23331.518879778265
357,Google CDN,10000,0.0,43158.91573158912
358,Google CDN,10000,0.9,25030.439628567125
359,Google CDN,10000,1.0,23339.528581146897
360,Google CDN,100000,0.0,340800.68822797
361,Google CDN,100000,0.9,164910.11528231093
362,Google CDN,100000,1.0,145515.44966473413
363,Google CDN,100000,0.0,347362.82444595714
364,Google CDN,100000,0.9,166807.1074541617
365,Google CDN,100000,1.0,147277.71374332608
366,Google CDN,100000,0.0,346861.50772799813
367,Google CDN,100000,0.9,166299.06022209537
368,Google CDN,100000,1.0,146811.4872695392
369,Google CDN,100000,0.0,344716.2926017454
370,Google CDN,100000,0.9,167440.1025883908
371,Google CDN,100000,1.0,146072.23225819116
372,Google CDN,100000,0.0,345259.5400017326
373,Google CDN,100000,0.9,167310.08410542
374,Google CDN,100000,1.0,145838.44115095102
375,Google CDN,100000,0.0,346224.64719128126
376,Google CDN,100000,0.9,166430.41977080982
377,Google CDN,100000,1.0,146584.92813586333
378,Google CDN,100000,0.0,343571.7902461596
379,Google CDN,100000,0.9,165731.68271451676
380,Google CDN,100000,1.0,147017.055471842
381,Google CDN,100000,0.0,344629.1649814498
382,Google CDN,100000,0.9,166998.83951294437
383,Google CDN,100000,1.0,146008.85081954562
384,Google CDN,100000,0.0,348527.4997788517
385,Google CDN,100000,0.9,165616.7173692966
386,Google CDN,100000,1.0,145645.89315960073
387,Google CDN,100000,0.0,345732.8448277794
